position	label_en
1	Preface
2	Introduction
3	Logic
4	On Its General Division
5	Book One. Being
6	With What Must the Beginning of Science Be Made?
7	General Division of Being
8	First Section. Determinateness
9	Chapter 1. Being
10	A. Being
11	B. Nothing
12	C. Becoming
13	Unity of Being and Nothing
14	Remark 1
15	Remark 2
16	Remark 3
17	Remark 4
18	2. Moments of Becoming
19	3. Sublation of Becoming
20	Remark
21	Chapter 2. Existence
22	A. Existence as Such
23	1. Existence in General
24	2. Reality
25	a) Otherness
26	b) Being-for-other and Being-in-itself
27	c) Reality
28	Remark
29	3. Something
30	B. Determinateness
31	1. Limit
32	2. Determinateness
33	a.) Determination
34	b.) Constitution
35	c.) Quality
36	Remark
37	3. Alteration
38	a) Alteration of Constitution
39	b.) The Ought and Restriction
40	Remark
41	c.) Negation
42	Remark
43	C. (Qualitative) Infinity
44	1. Finitude and Infinity
45	2. Reciprocal Determination of the Finite and the Infinite
46	3. Return of Infinity into Itself
47	Remark
48	Chapter 3. Being-for-itself
49	A. Being-for-itself as Such
50	1. Being-for-itself in General
51	2. The Moments of Being-for-itself
52	a.) the moment of its being-in-itself,
53	b.) Being for One
54	Remark
55	c.) Ideality
56	3. Becoming of the One
57	B. The One
58	1. The One and the Void
59	Remark
60	2. Many Ones
61	Remark
62	3. Mutual Repulsion
63	C. Attraction
64	1. One One
65	2. Equilibrium of Attraction and Repulsion
66	Remark
67	3. Transition to Quantity
68	Second Section. Magnitude
69	Remark
70	Chapter 1. Quantity
71	A. Pure Quantity
72	Remark 1
73	Remark 2
74	B. Continuous and Discrete Magnitude
75	Remark
76	C. Limitation of Quantity
77	Chapter 2. Quantum
78	A. Number
79	Remark 1
80	Remark 2
81	B. Extensive and Intensive Quantum
82	1. Their Difference
83	2. Identity of Extensive and Intensive Magnitude
84	Remark
85	3. Alteration of the Quantum
86	C. Quantitative Infinity
87	1. Its Concept
88	2. The Infinite Progress
89	Remark 1
90	Remark 2
91	3. Infinity of the Quantum
92	Remark
93	Chapter 3. The Quantitative Ratio
94	A. The Direct Ratio
95	B. The Inverse Ratio
96	C. The Ratio of Powers
97	Remark
98	Third Section. Measure
99	Chapter 1. Specific Quantity
100	A. The Specific Quantum
101	B. The Rule
102	1. The Qualitative and Quantitative Determinateness of Magnitude
103	2. Quality and Quantum
104	3. Distinction of Both Sides as Qualities
105	Remark
106	C. Relation of Qualities
107	Chapter 2. Relation of Self-subsistent Measures
108	A. The Relation of Self-subsistent Measures
109	1. Neutrality
110	2. Specification of Neutrality
111	3. Elective Affinity
112	Remark
113	B. Nodal Line of Measure-Relations
114	Remark
115	C. The Measureless
116	Chapter 3. The Becoming of Essence
117	A. Indifference
118	B. The Self-subsistent as Inverse Ratio of Its Factors
119	Remark
120	C. Emergence of Essence
